pmid,id,journal,abstract
28882397,Ahn 2018,journal of cardiology,"OBJECTIVE: Diabetic women have a greater relative risk of coronary heart disease than diabetic men. However, the sex difference in the effect of fasting serum glucose levels below the diabetic range on the risk of coronary heart disease is unclear. We investigated whether the association between nondiabetic blood glucose levels and the incident risk of coronary heart disease is different between men and women. METHODS: The fasting serum glucose levels and other cardiovascular risk factors at baseline were measured in 159,702 subjects (100,144 men and 59,558 women). Primary outcomes were hospital admission and death due to coronary heart disease during the 11-year follow-up. RESULTS: The risk for coronary heart disease in women significantly increased with impaired fasting glucose levels (>=110mg/dL) compared to normal glucose levels (<100mg/dL), whereas the risk for coronary heart disease in men was significantly increased at a diabetic glucose range (>=126mg/dL). Women had a higher hazard ratio of coronary heart disease associated with the fasting serum glucose level than men (p for interaction with sex=0.021). CONCLUSIONS: The stronger effect of the fasting serum glucose levels on the risk of coronary heart disease in women than in men was significant from a prediabetic range (>=110mg/dL)."
30703129,Ares 2019,plos one,"People who develop type 2 diabetes (T2D) are known to have a higher mortality risk. We estimated all-cause, cardiovascular, and cancer mortality-risks in our patient cohort according to categories of impaired glucose metabolism. This 18-year retrospective analysis included a region-wide, representative sample of a population aged 30-75 years. Age- and sex-stratified hazard ratios (HRs) were calculated for 48 participants with diagnosed T2D, 83 with undiagnosed T2D (HbA1c ≥6.5%, fasting glycemia ≥126 mg/dL, or glycemia after 75 g glucose load ≥200 mg/dL); 296 with prediabetes (HbA1c 5.7%-6.4%, fasting glycemia 100-125 mg/dL, or glycemia after 75 g glucose load 140-199 mg/dL), and 607 with normoglycemia. Over 18,612 person-years, 32 individuals with undiagnosed T2D, 30 with diagnosed T2D, 62 with prediabetes, and 80 with normoglycemia died. Total sample crude mortality rate (MR) was 10.96 deaths per 1,000 person-years of follow-up. MR of the diagnosed T2D group was more than 3-times higher and that of newly diagnosed T2D was 2-times higher (34.72 and 21.42, respectively) than total sample MR. Adjusted HR for all-cause mortality was 2.02 (95% confidence interval 1.29-3.16) and 1.57 (95% CI 1.00-2.28) in the diagnosed T2D group and the newly diagnosed T2D group, respectively. Adjusted HR for cardiovascular mortality in the T2D group was 2.79 (95% CI 1.35-5.75); this risk was greatly increased in women with T2D: 6.72 (95% CI 2.50-18.07). In Asturias, age- and sex-standardized all-cause mortality is more than 2-times higher for adults with T2D than for adults without T2D. The HR for cardiovascular mortality is considerably higher in T2D women than in normoglycemic women."
17576864,Barr 2007,circulation,"BACKGROUND: Diabetes mellitus increases the risk of cardiovascular disease (CVD) and all-cause mortality. The relationship between milder elevations of blood glucose and mortality is less clear. This study investigated whether impaired fasting glucose and impaired glucose tolerance, as well as diabetes mellitus, increase the risk of all-cause and CVD mortality. METHODS AND RESULTS: In 1999 to 2000, glucose tolerance status was determined in 10,428 participants of the Australian Diabetes, Obesity, and Lifestyle Study (AusDiab). After a median follow-up of 5.2 years, 298 deaths occurred (88 CVD deaths). Compared with those with normal glucose tolerance, the adjusted all-cause mortality hazard ratios (HRs) and 95% confidence intervals (CIs) for known diabetes mellitus and newly diagnosed diabetes mellitus were 2.3 (1.6 to 3.2) and 1.3 (0.9 to 2.0), respectively. The risk of death was also increased in those with impaired fasting glucose (HR 1.6, 95% CI 1.0 to 2.4) and impaired glucose tolerance (HR 1.5, 95% CI 1.1 to 2.0). Sixty-five percent of all those who died of CVD had known diabetes mellitus, newly diagnosed diabetes mellitus, impaired fasting glucose, or impaired glucose tolerance at baseline. Known diabetes mellitus (HR 2.6, 95% CI 1.4 to 4.7) and impaired fasting glucose (HR 2.5, 95% CI 1.2 to 5.1) were independent predictors for CVD mortality after adjustment for age, sex, and other traditional CVD risk factors, but impaired glucose tolerance was not (HR 1.2, 95% CI 0.7 to 2.2). CONCLUSIONS: This study emphasizes the strong association between abnormal glucose metabolism and mortality, and it suggests that this condition contributes to a large number of CVD deaths in the general population. CVD prevention may be warranted in people with all categories of abnormal glucose metabolism."
10466662,Barzilay 1999,lancet,"BACKGROUND: The new fasting American Diabetes Association (ADA) criteria for the diagnosis of diabetes mellitus rely mainly on fasting blood glucose concentrations and use a lower cut-off value for diagnosis than the WHO criteria. We aimed to assess the sensitivity of these criteria for the detection of cardiovascular disease, the main complication of diabetes mellitus in the elderly. METHODS: We did a cross-sectional and prospective analysis of 4515 participants of the Cardiovascular Health Study, an 8 year longitudinal study designed to identify factors related to the onset and course of cardiovascular disease in adults aged at least 65 years. We calculated the prevalence and incidence of cardiovascular disease for the ADA and WHO criteria. FINDINGS: There was a higher prevalence of cardiovascular disease among individuals with impaired glucose or newly diagnosed diabetes by both criteria than among those with normal glucose concentrations. However, because fewer individuals had abnormal glucose states by the fasting ADA criteria (22.3%) than by the WHO criteria (46.8%), the number of cases of cardiovascular disease attributable to abnormal glucose states was a third of that attributable by the WHO criteria (53 vs 159 cases per 10,000). For the two sets of criteria, the relative risk for incident cardiovascular disease (mean follow-up 5.9 years) was higher in individuals with impaired glucose and newly diagnosed diabetes than in those with normal glucose. Individuals classified as normal by the fasting ADA criteria had a higher absolute number of incident events (455 of 581 events) than those classified as normal by the WHO criteria (269 of 581 events). Fasting ADA criteria were therefore less sensitive than the WHO criteria for predicting cardiovascular disease among individuals with abnormal glucose (sensitivity, 28% vs 54%). INTERPRETATION: The new fasting ADA criteria seem to be less predictive than the WHO criteria for the burden of cardiovascular disease associated with abnormal glucose in the elderly."
25352076,Bergman 2015,diabetes and metabolism research and reviews,"Background: We describe the relationship between dysglycemia and long-term mortality and elucidate the relationship between blood glucose levels during an oral glucose tolerance test (OGTT) and haemoglobin A1 (HbA1) and mortality. Methods: A cohort of 1410 individuals was followed for 33 years since 1980. Fasting and post-OGTT glucose parameters were used to categorize the cohort according to baseline glycemic status. Results: The mortality rate increased from 43% in normoglycemic individuals to 53.3, 61.7, 72.9 and 88.0% in those with impaired fasting glucose (IFG), impaired glucose tolerance (IGT), IFG/IGT and diabetes, respectively. The highest mortality rate, compared with the normoglycemic category, was observed in individuals with IFG/IGT and diabetes according to a Cox proportional hazard model (HR = 1.38, 95%CI 1.10-1.74 and HR = 2.14, 95%CI 1.70-2.70, respectively), followed by individuals with IGT and IFG, but this did not reach statistical significance. We speculate that the IFG group may represent a mixture of individuals en route from normal to the next two categories as well as another cohort whose glucose levels are stably set at the upper reaches of the normal distribution. Significant differences were found between 1 and 2 h glucose values (p < 0.001). Fasting, 60 and 120 min glucose values were positively associated with increasing HbA1 quintiles (p < 0.05). The mean HbA1 was significantly higher in those who died (p = 0.01). The highest mortality (58.8%) was observed in the upper HbA1 quintile that was also associated with the highest prevalence of the metabolic syndrome (17.2%). Conclusions: This study shows a continuous relationship between the severity of dysglycemia and long-term mortality and should promote the early recognition of prediabetes. The 1 h post-load glucose level was continuously associated with increasing HbA1 concentrations and may therefore serve as an early marker for abnormalities in glucose tolerance. An elevated 1 h post-load glucose level may potentially identify at-risk individuals well before the traditional 2 h glucose value."
31107107,Bjarnason 2019,european heart journal acute cardiovascular care,"Background: Dysglycemia is a well-established risk factor of coronary artery disease. Less is known of the prognostic effect of dysglycemia in acute coronary syndromes (ACSs). The aim of this study was to evaluate the long-term outcome of patients with ACSs according to glucometabolic categories. Methods: Patients with ACSs were consecutively included in the study. Among those with no previous history of type 2 diabetes (T2DM) glucose metabolism was evaluated with fasting glucose in plasma, glycated hemoglobin and a standard 2-h oral glucose tolerance test. Patients were classified having normal glucose metabolism, prediabetes, newly detected T2DM (nT2DM) and previously known T2DM (kT2DM). The clinical outcome parameters were death or myocardial infarction and other major adverse cardiac events (MACEs). Results: A total of 372 ACS patients (male 75.8%, 65.1 years (SD: 11.8)) constituted the study population. The proportion diagnosed with normal glucose metabolism, prediabetes, nT2DM and kT2DM was 20.7%, 46.5%, 6.2% and 26.6%, respectively. The mean follow-up period was 2.9 years. Patients with prediabetes, nT2DM and kT2DM had a hazard ratio of 5.8 (95% confidence interval (CI) 0.8-44.6), 10.9 (95% CI 1.2-98.3) and 14.9 (95% CI 2.0-113.7), respectively, for death/myocardial infarction and 1.4 (95% CI 0.6-3.1), 2.9 (95% CI 1.1-8.0) and 3.3 (95% CI 1.5-7.6), respectively, for a composite of MACEs. Conclusion: Patients with ACS and nT2DM or kT2DM were at increased risk of death/myocardial infarction and MACE compared with patients with normal glucose metabolism after approximately three years of follow-up."
12663606,Bonora 2003,diabetes care,"OBJECTIVE: The present study aimed at prospectively evaluating carotid atherosclerosis and coronary heart disease (CHD) in subjects with the metabolic syndrome. RESEARCH DESIGN AND METHODS: Within a prospective population-based survey examining 888 subjects aged 40-79 years, 303 subjects were identified as fulfilling World Health Organization (WHO) criteria and 158 as fulfilling the National Cholesterol Education Program (NCEP)-Adult Treatment Panel (ATP)-III criteria for diagnosing the metabolic syndrome. The 5-year change in carotid status, as assessed by echo-duplex scanning, and incident fatal and nonfatal CHD, as assessed by medical history and death certificates, were compared in subjects with the metabolic syndrome and in the rest of the sample (control subjects). RESULTS: Compared with the control subjects, subjects with the metabolic syndrome by WHO criteria had an increased 5-year incidence and progression of carotid atherosclerosis: 51 vs. 35% developed new plaques (P = 0.021) and 34 vs. 19% developed carotid stenosis >40% (P = 0.002) after adjusting for several confounders. Subjects with the metabolic syndrome by these criteria also had an increased incidence of CHD during follow-up: 8 vs. 3% in control subjects (P = 0.012). Similar results were found when the NCEP-ATPIII criteria were used. CONCLUSIONS: Subjects with the metabolic syndrome are at increased risk for both progressive carotid atherosclerosis and CHD."
20536951,Brunner 2010,diabetic medicine,"AIMS: British guidelines on vascular disease prevention recommend adding a random (casual) blood glucose measurement to a lipid profile in those aged > or = 40 years. To assess this recommendation, we compared the predictive value of a risk model based on the Framingham risk score alone to one which additionally included information on fasting blood glucose, with respect to incident coronary heart disease (CHD) over 11 years. METHOD: Men and women aged 40-63 years in Whitehall II were followed up for incident CHD: death/non-fatal myocardial infarction; angina confirmed by doctor diagnosis or electrocardiogram (ECG) and all first events. Fasting blood glucose was specified as a continuous variable or categorized by World Health Organization (WHO) 1999 glycaemic status (normal glucose tolerance, impaired fasting glucose or newly diagnosed diabetes). RESULTS: The hazard ratio for incident CHD was 1.10 (95%CI 1.09; 1.12) in men and 1.13 (1.10; 1.17) in women per percentage point increase in Framingham risk. The excess risk remained unchanged in models which added glycaemic status or continuous fasting glucose. The area under the receiver operating characteristic (ROC) curve for the Framingham score and incident coronary heart disease [0.70 (0.68; 0.73)] did not change when glycaemic status or fasting glucose was added to the prediction model. Reclassification with these modified models improved discrimination based on the Framingham score alone when glycaemic status was added, net reclassification improvement 2.4% (95% CI 0.2%; 4.6%), but not when fasting glucose was added. CONCLUSION: Better detection of unrecognized diabetes is a valuable consequence of including a random blood glucose in a vascular risk profile. Our results suggest that this strategy is unlikely to improve risk stratification for CHD."
20573752,Cederberg 2010,diabetes care,"OBJECTIVE: A1C has been proposed as a new indicator for high risk of type 2 diabetes. The long-term predictive power and comparability of elevated A1C with the currently used high-risk indicators remain unclear. We assessed A1C, impaired glucose tolerance (IGT), and impaired fasting glucose (IFG) as predictors of type 2 diabetes and cardiovascular disease (CVD) at 10 years. RESEARCH DESIGN AND METHODS: This prospective population-based study of 593 inhabitants from northern Finland, born in 1935, was conducted between 1996 and 2008. An oral glucose tolerance test (OGTT) was conducted at baseline and follow-up, and A1C was determined at baseline. Those with a history of diabetes were excluded from the study. Elevated A1C was defined as 5.7-6.4%. Incident type 2 diabetes was confirmed by two OGTTs. Cardiovascular outcome was measured as incident CVD or CVD mortality. Multivariate log-binomial regression models were used to predict diabetes, CVD, and CVD mortality at 10 years. Receiver operating characteristic curves compared predictive values of A1C, IGT, and IFG. RESULTS: Incidence of diabetes during the follow-up was 17.1%. Two of three of the cases of newly diagnosed diabetes were predicted by a raise in >or=1 of the markers. Elevated A1C, IGT, or IFG preceded diabetes in 32.8, 40.6, and 21.9%, respectively. CVD was predicted by an intermediate and diabetic range of 2-h glucose but only by diabetic A1C levels in women. CONCLUSIONS: A1C predicted 10-year risk of type 2 diabetes at a range of A1C 5.7-6.4% but CVD only in women at A1C >or=6.5%."
31044609,Chattopadhyayv 2019,diabetes & vascular disease research,"Background: Effect of pre-diabetes mellitus on post-myocardial infarction prognosis is unclear. Methods: Retrospective cohort analysis of 1056 myocardial infarction survivors with fasting plasma glucose and 2-h post-load plasma glucose measured. Major adverse cardiovascular events included death, non-fatal reinfarction and ischaemic stroke. Cox proportional hazard regression identified predictors of event-free survival. Continuous net reclassification improvement and integrated discrimination improvement determined the added predictive value of glycaemic indices. Results: Major adverse cardiovascular events occurred in 25.1% and 16.4% patients with and without pre-diabetes mellitus (hazard ratio with pre-diabetes mellitus: 1.56; 95% confidence interval: 1.17-2.08; p = 0.003) in the whole cohort and in 24.1% and 17.2% patients (hazard ratio with pre-diabetes mellitus, 1.43; 95% confidence interval: 1.03-1.98; p = 0.033) in the matched cohort, respectively. Pre-diabetes mellitus predicted major adverse cardiovascular events-free survival in whole (hazard ratio: 1.39; 95% confidence interval: 1.03-1.89; p = 0.033) and matched cohorts (hazard ratio: 1.42; 95% confidence interval: 1.01-1.99; p = 0.043). The 2-h post-load plasma glucose, but not fasting plasma glucose, predicted major adverse cardiovascular events-free survival in the whole (hazard ratio: 1.16; 95% confidence interval: 1.07-1.26; p < 0.0001) and matched cohorts (hazard ratio: 1.20; 95% confidence interval: 1.09-1.31; p < 0.0001). Adding 2-h post-load plasma glucose to models containing fasting plasma glucose, significantly improved net reclassification improvement and integrated discrimination improvement for both cohorts, but not vice versa. Conclusion: Pre-diabetes mellitus predicts major adverse cardiovascular events after myocardial infarction. The 2-h post-load plasma glucose predicts prognosis better than fasting plasma glucose in these patients."
