Study,gold_igt,gold_ifg_ada,gold_ifg_who,gold_hba1c_ada,gold_hba1c_iec
Stengard 1992,1.0,0.0,0.0,0.0,0.0
Lu 2003,0.0,0.0,1.0,0.0,0.0
Hu 2003,1.0,0.0,1.0,0.0,0.0
Ma 2003,1.0,0.0,1.0,0.0,0.0
Nakagami 2004,1.0,0.0,1.0,0.0,0.0
Nakanishi 2004,0.0,0.0,1.0,0.0,0.0
Hunt 2004,0.0,0.0,1.0,0.0,0.0
Hiltunen 2005,1.0,0.0,0.0,0.0,0.0
Wild 2005,1.0,0.0,1.0,0.0,0.0
Kaarisalo 2006,1.0,0.0,0.0,0.0,0.0
Palmieri 2006,0.0,0.0,1.0,0.0,0.0
Barr 2007,1.0,0.0,1.0,0.0,0.0
Liu 2007,0.0,1.0,0.0,0.0,0.0
Rijkelijkhuizen 2007,0.0,1.0,1.0,0.0,0.0
Wang 2007_2,1.0,1.0,1.0,0.0,0.0
Chien 2008,1.0,0.0,1.0,0.0,0.0
Kim 2008,1.0,1.0,0.0,0.0,0.0
Tsai 2008,0.0,0.0,1.0,0.0,0.0
Wang 2008,1.0,1.0,1.0,0.0,0.0
Hyvarinen 2009,1.0,0.0,1.0,0.0,0.0
Brunner 2010,0.0,0.0,1.0,0.0,0.0
Khang 2010,0.0,1.0,0.0,0.0,0.0
Kokubo 2010,0.0,1.0,0.0,0.0,0.0
Magliano 2010,1.0,0.0,1.0,0.0,0.0
Skriver 2010,0.0,0.0,0.0,0.0,1.0
Kowall 2011,1.0,0.0,1.0,0.0,0.0
Sui 2011,0.0,0.0,1.0,0.0,0.0
Yeboah 2011,0.0,1.0,0.0,0.0,0.0
Ma 2012,0.0,1.0,0.0,0.0,0.0
Madssen 2012,1.0,0.0,1.0,0.0,0.0
Deedwania 2013,0.0,1.0,0.0,0.0,0.0
Laukkanen 2013,0.0,1.0,0.0,0.0,0.0
Schottker 2013,0.0,1.0,0.0,1.0,0.0
Selvin 2013,0.0,1.0,0.0,1.0,0.0
Eastwood 2015,1.0,0.0,1.0,1.0,1.0
Evans 2015,1.0,0.0,1.0,0.0,0.0
Gordon-Dseagu 2015,0.0,0.0,0.0,1.0,0.0
Paprott 2015,0.0,0.0,0.0,1.0,0.0
Qiu 2015,1.0,1.0,0.0,0.0,0.0
Kim 2016,0.0,1.0,0.0,1.0,0.0
Rhee 2016,0.0,1.0,0.0,1.0,0.0
Shi 2016,0.0,1.0,0.0,0.0,0.0
de Abreu 2017,0.0,1.0,0.0,0.0,0.0
Hajebrahimi 2017,1.0,1.0,0.0,0.0,0.0
Warren 2017,1.0,1.0,1.0,1.0,1.0
Vistisen 2018,1.0,1.0,1.0,1.0,1.0
Ares 2019,1.0,1.0,0.0,1.0,0.0
Fang 2019,1.0,0.0,0.0,0.0,0.0
Hubbard 2019,0.0,1.0,0.0,1.0,0.0
Parizadeh 2019,1.0,1.0,1.0,0.0,0.0
Welsh 2020,0.0,0.0,0.0,0.0,1.0
Jiang 2020,1.0,1.0,1.0,1.0,1.0
