paper,section,normalized_section
Samaras_2015,Abstract,abstract
Samaras_2015,RESEARCH DESIGN AND METHODS,methods
Samaras_2015,Glucose Status Classification,methods
Samaras_2015,Procedures and Laboratory Analyses,methods
Samaras_2015,Statistical Analyses,methods
Samaras_2015,Cross-Sectional Statistical Analyses,methods
Samaras_2015,Prospective Statistical Analyses,methods
Samaras_2015,RESULTS,results
Samaras_2015,Baseline Disease Prevalence and Metabolic and Inflammatory Associations in IFG,results
Samaras_2015,Two-Year All-Cause Mortality and IFG,results
Samaras_2015,Two-Year Incident Cardiovascular Disease and Stroke and IFG,results
Samaras_2015,Two-Year Incident Cancer and IFG,results
Samaras_2015,"Diabetes Mellitus, Mortality, and Incident Disease",results
Samaras_2015,DISCUSSION,discussion
Samaras_2015,all_tables,tables
Samaras_2015,all_figure_descriptions,figures
Magliano_2010,Abstract,abstract
Magliano_2010,S,intro
Magliano_2010,Risk factors at baseline,methods
Magliano_2010,Causes of death,methods
Magliano_2010,Statistical analyses,methods
Magliano_2010,RESULTS,results
Magliano_2010,"-Adjusted all-cause (A) and CVD (B) mortality HRs (95% CIs) for IFG, IGT, NDM, and KDM compared with NGT according to ethnic",results
Magliano_2010,all_tables,tables
Magliano_2010,all_figure_descriptions,figures
Wang_2008,Abstract,abstract
Wang_2008,Subjects and Methods,methods
Wang_2008,Baseline Study,methods
Wang_2008,Diagnosis of Incident Stroke,methods
Wang_2008,Definitions of the MetS,methods
Wang_2008,Statistical Analyses,methods
Wang_2008,Results,results
Wang_2008,Discussion,discussion
Wang_2008,Wang et al Metabolic Syndrome and Stroke,discussion
Wang_2008,Sources of Funding,misc.
Wang_2008,all_tables,tables
Wang_2008,all_figure_descriptions,figures
Madssen_2012,Abstract,abstract
Madssen_2012,Introduction,intro
Madssen_2012,Material and methods,methods
Madssen_2012,The HUNT study,methods
Madssen_2012,Study variables,methods
Madssen_2012,Study population,methods
Madssen_2012,Follow-up,methods
Madssen_2012,Statistical analysis,methods
Madssen_2012,Results,results
Madssen_2012,Discussion,discussion
