pmcid,methods_materials,definitions_diagnosis_ranges,clusion_criteria,formula,misc
PMC6509938,Patients and methodsStudy participantsThis was a retrospective observational study which was approved by the Institutional Review Board of Taiwan Adventist Hospital.,0,0,0,0
PMC6509938,Participants of this study included 198 volunteers who used to be with sedentary lifestyle at the NEWSTART Exercise Center of Taiwan Adventist Hospital from May 2015 to August 2017.,0,0,0,0
PMC6509938,"Each of them attended an eight-week LM program, which including exercise and diet regimen.",0,0,0,0
PMC6509938,"Individuals who had been treated with antihypertensive, antidiabetic, or antihyperlipidemic agents were excluded.",0,1,0,0
PMC6509938,"Individuals were not enrolled if they were younger than 18 years of age, less than 150 cm in body height, and had acute illness or complications of chronic diseases (such as known heart diseases or anemia with hemoglobin <8.0 g/dL).",0,1,0,0
PMC6509938,All the exclusion criteria could affect intensity and efficiency of the exercises.,0,0,0,0
PMC6509938,Pregnant or breastfeeding women were ineligible as they could affect the changes in body weight.,0,1,0,0
PMC6509938,"In addition, neither of them was a smoker, and who were not allowed to use any weight loss medications/supplements during eight-week LM programs.",0,1,0,0
PMC6509938,All volunteers had provided written consent for participating in the program.,0,0,0,0
PMC6509938,This study was conducted in accordance with the Declaration of Helsinki.,0,0,0,0
PMC6509938,Diet and exercise programAll participants were asked to record a baseline diet and exercise log before intervention.,0,0,0,0
PMC6509938,"Participants chose their own diet throughout the program, although education on the principles of a healthy diet was provided by registered dieticians every week, and participants were encouraged to decrease intake of calories.",0,0,0,0
PMC6509938,"Each participant would do exercise three times per week, every two days, at least 150 mins/week.",0,0,0,0
PMC6509938,The exercise program included jogging or rhythmic aerobic exercises set to beat music (such as SPINNING®).,0,0,0,0
PMC6509938,"During each session, participants were advised to achieve approximately 70% of their maximal heartbeat rate for a minimum of 30 mins.",0,0,0,0
PMC6509938,"Maximum heartbeat rate was estimated from the formula 220–age (years) with a standard deviation of 10–12 beats/min.15Data collectionBefore and after the program, trained staff would measure the participants’ height, weight, and waist circumference (WC) in light clothing without shoes and after emptying the bladder.",0,0,0,0
PMC6509938,Body mass index (BMI) was calculated as weight (in kilograms) divided by squared height (in square meters).,0,0,1,0
PMC6509938,"The body fat percentage (BFP) and body muscle mass (BMM) were measured by the same bioelectrical body composition analyzer (TANITA® BC-418; TANITA Corp., Tokyo, Japan).",0,0,0,1
PMC6509938,"For pre- and post-program laboratory tests, overnight/8-hr blood samples were obtained from the antecubital vein of the arm for measurement of fasting plasma glucose (FPG), serum insulin (FSI), total cholesterol (TC), triglyceride (TG), high-density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), uric acid (UA), creatinine (Cr), serum glutamate pyruvate transaminase (S-GPT), and hemoglobin (Hb).",0,0,0,0
PMC6509938,Renal function was recorded as estimated glomerular filtration rate (eGFR) using the MDRD (modification of diet in renal disease) study equation.16,0,0,1,1
PMC6509938,"Homeostasis model assessment of insulin resistance (HOMA-IR) was calculated as follows: (FSI × FPG)/405, where insulin is expressed in mIU/L and glucose in mg/dL.17Metabolic syndromeMetS was defined according to the National Cholesterol Education Program adult treatment panel III updated guidelines as the presence of three or more of five risk factors: (1) WC >90 cm (men) and >80 cm (women) (ethnic criteria for Asians); (2) Fasting TG \documentclass[12pt]{minimal}
\usepackage{wasysym}
\usepackage[substack]{amsmath}
\usepackage{amsfonts}
\usepackage{amssymb}
\usepackage{amsbsy}
\usepackage[mathscr]{eucal}
\usepackage{mathrsfs}
\DeclareFontFamily{T1}{linotext}{}
\DeclareFontShape{T1}{linotext}{m}{n} {linotext }{}
\DeclareSymbolFont{linotext}{T1}{linotext}{m}{n}
\DeclareSymbolFontAlphabet{\mathLINOTEXT}{linotext}
\begin{document}
$$ \ge $$
\end{document}≥ 150 mg/dL; (3) HDL-C <40 mg/dL (men) and <50 mg/dL (women); (4) systolic blood pressure (SBP) ≥130 and/or diastolic blood pressure ≥85 mmHg; and (5) FPG >100 mg/dL.18,19Statistical analysisNumeric values were presented as mean±standard deviation (SD), with categorical values as n (%).",1,0,0,0
PMC6509938,The differences in clinical and laboratory characteristics between MetS and non-MetS groups were analyzed using independent t-tests or Mann-Whitney U tests for parameters withnormal or skewed distributions and analysis of variance for numeric data and Chi-square test for some categorical data.,0,0,0,0
PMC6509938,"The degrees of association among independent variables for baseline HOMA-IR and the improvement of HOMA-IR, including age, gender, BMI, WC, SBP, eGFR, BFP, BMM, TC, TG, LDL-C, HDL-C, UA, and S-GPT were assessed by multiple regression analyses.",0,0,0,0
PMC6509938,A P-value of <0.05 was considered statistically significant.,0,0,0,0
PMC6509938,"Statistical analysis was performed using SPSS statistical software (version 22.0, IBM Corp., Armonk, NY, USA).",0,0,0,0
PMC3920773,"Search methodsThe search strategy (81 terms) was as listed in Table 01 in the meta-analysis by the Cochrane collaboration (1), and we selected the studies based on our objectives.",0,0,0,0
PMC3920773,We focused on RCTs in MEDLINE (1966–October 2012).,0,0,0,0
PMC3920773,"In addition, we searched PubMed for human trials published in English using the search terms “insulin therapy” and “type 2 diabetes.",0,0,0,0
PMC3920773,”,0,0,0,0
PMC4738205,"MethodsSS pens (sanofi-aventis Deutschland GbmH, Frankfurt, Germany) were purchased from a German pharmacy, while FT pens (Novo Nordisk A/S, Bagsvaerd, Denmark) were obtained through an international pharmacy in the United Kingdom.",0,0,0,0
